w	x	y	z
0.9473139366996214	-0.09264206179478478	0.11335329332844925	-0.2848943393833431
0.9390371882529338	-0.11469584452010283	-0.07303937091924487	-0.315783585107848
0.9524993107038985	-0.014524290267449474	-0.14839614610528526	-0.26554226014313387
0.9721833604975261	-0.11053237018922907	-0.07581051341165312	-0.19208038621460033
0.9817574674461981	-0.10515080931750112	-0.02550428581526571	-0.15634933264505818
0.9779808207211791	0.08640438764907628	-0.08388473729672083	-0.17044397010506745
0.9326569576909074	-0.07024243744778194	0.0994599565366076	-0.3395949297293343
0.9682611366932843	0.09018910377471445	-0.1077210794147604	-0.20671832473068652
0.9452839100639744	0.04704951485901078	-0.1366955669636231	-0.2924705019282957
0.9422567209805439	-0.07835708147328391	0.11720650812113059	-0.30376812539177594
0.9359616323000477	0.03930820603821551	-0.12381622236032978	-0.32726171618553984
0.9188272442687921	-0.029004386801912647	0.04326020495153683	-0.3912081228747857
0.9185643636346081	-0.020822025607977954	0.044649515257705	-0.3921892067578861
0.9799808887021234	0.11132189961289221	-0.0261254207778073	-0.16297961478159168
0.9892167977803138	-0.00268368391875738	-0.07019911945910219	-0.12851073284769826
0.9825162035267968	-0.040216108939305634	0.09734933449172267	-0.15351769104272775
0.9843026374675127	0.06462866347708932	0.07352786240125496	-0.1468506288116109
0.9189044350508229	-0.05258217562471973	-0.005592322152013033	-0.3909200429543709
0.9446359856785668	0.10230067551820661	-0.10118372710665591	-0.2948885886540998
0.937887073140793	-0.07218631374519967	0.11273158198286903	-0.32007587314091
0.9810505180626903	-0.10474071944966942	-0.03594680489497801	-0.15898770366268844
0.9840122098794628	0.013963290285462213	-0.0981854129913702	-0.14793451932613244
0.9898995235261058	0.06331292277871915	-0.014959572021432856	-0.1259627656767676
0.950380244887613	-0.1407415460805825	-0.046839195994183055	-0.27345072143409416
0.9260859978167879	0.060914849082458346	-0.07792384344664308	-0.3641180858340445
0.9499718002124214	0.14504619785119718	0.030064878600628224	-0.27497505771398967
0.9182275855306639	0.0361259871585359	0.027444426567047295	-0.39344607975268286
0.9241257469366937	0.0845729745085389	0.02959589601537404	-0.3714338417141375
0.9372381019918408	-0.10618260767410943	0.07940478665025855	-0.32249786644144607
0.9836851281415353	-0.09692688595222608	0.02686023598323675	-0.14915520499030605
0.9692825537230952	0.062697164093028	-0.12405406898850853	-0.20290634447971623
0.9294399848629765	0.09228891053678687	0.06325285618738989	-0.35160083576974077
0.9840557425300805	0.07659200584423655	-0.06270072175812737	-0.14777205326223888
0.98156542901273	0.10234363561000494	-0.03722030479203124	-0.15706602983576667
0.9695412859877379	-0.0630497717542421	0.12342753970017269	-0.20194074252251235
0.928965992847708	0.05548701352174251	-0.09525314318602748	-0.3533697980531051
0.9754844895930453	-0.09175724448345086	0.08773149689533212	-0.17976040470777838
0.9828676516845387	-0.10375126439119729	0.006337749747732293	-0.15220606866180872
0.9720986337554174	-0.09758082894115483	-0.09211829325914958	-0.19239659072090964
0.9699109264341632	0.06555623342699603	0.12145110057117885	-0.20056122559592052
0.9488674042878467	-0.09012475532131117	-0.11676128968732254	-0.27909671941617464
0.9309338346115476	0.10505167580175251	0.050917061973161315	-0.3460257126091998
0.9804555797813347	0.08629019046515925	0.07261422586487959	-0.16120804355607524
0.9536452141729079	-0.14670072806659723	-0.027927423915955242	-0.26126569017622137
0.9294458002773952	-0.09198533502105484	-0.0637284566378396	-0.3515791323476629
0.9698770073632363	-0.051952844665578035	-0.1279214372784185	-0.20068781329196536
0.9789047719382944	-0.04686409431264542	-0.10798901745709054	-0.16699573721907796
0.9604518191212801	0.1260952446540311	0.07746543093126135	-0.23586309468184666
0.9880057610242547	0.07525818516760775	0.021994062844246386	-0.13303038355114424
0.9350445083508813	-0.02887329516571462	0.12452261623008967	-0.33068446936066703
0.9807057496519684	-0.10525873652514665	0.03806505860729473	-0.1602743968883473
0.9548430435047562	0.0754158254898162	-0.12900920082521394	-0.2567953302509672
0.9337678187917343	-0.11812399511586227	0.039978207408024075	-0.33544913966089634
0.9786607895412479	0.07917207745270168	0.08810401977016588	-0.1679062919210078
0.9594714902214975	-0.14795074858759533	0.012424788572568124	-0.23952173194396348
0.9936740029306723	0.009662996294098279	0.0015213560732880624	-0.11187621676680279
0.9650807931175562	-0.031560410128461246	0.14086339352196553	-0.2185875285408291
0.9325586493532323	-0.056974982762764886	-0.10730413234643124	-0.3399618214403455
0.9801050491332773	-0.11104892743443259	0.025508813152462846	-0.1625162417442355
0.9472488497449161	-0.06011755521641342	-0.1334250593702995	-0.28513724720521305
0.9835615986800091	0.055491626529468784	-0.08451181418851034	-0.14961622321695306
